connection,entity1,entity2
"None",Michael Jordan,Slovenia
"None",Mount Everest,Jon Bon Jovi
"None",Eiffel Tower,Serena Williams
"None",Leonardo da Vinci,Great Barrier Reef
"None",Taj Mahal,Stephen King
"None",Albert Einstein,Machu Picchu
"None",Mona Lisa,Usain Bolt
"None",William Shakespeare,Sushi
"None",Great Wall of China,Beyoncé
"None",Statue of Liberty,Lionel Messi
"None",Cleopatra,Volkswagen Beetle
"None",Nelson Mandela,Stonehenge
"None",Marie Curie,Kangaroo
"None",Pyramids of Giza,Bob Marley
"None",Vincent van Gogh,Coca-Cola
"None",Beethoven,Amazon Rainforest
"None",Marilyn Monroe,Mount Fuji
"None",Elvis Presley,Taj Mahal
"None",Charlie Chaplin,Niagara Falls
"None",Walt Disney,Spaghetti
"None",Pablo Picasso,Koala
"None",Muhammad Ali,Leaning Tower of Pisa
"None",Oprah Winfrey,Colosseum
"None",Steve Jobs,Tango
"None",Madonna,Great Barrier Reef
"None",Freddie Mercury,Sahara Desert
"None",Neil Armstrong,Samba
"None",Audrey Hepburn,Mount Kilimanjaro
"None",John Lennon,Angkor Wat
"None",Mahatma Gandhi,Eiffel Tower
"None",Queen Elizabeth II,Sushi
"None",Martin Luther King Jr.,Acropolis
"None",Frida Kahlo,Kangaroo
"None",Charles Darwin,Flamenco
"None",Mother Teresa,Grand Canyon
"None",Winston Churchill,Machu Picchu
"None",Dalai Lama,Statue of Liberty
"None",Jane Austen,Great Wall of China
"None",Christopher Columbus,Kimchi
"None",Isaac Newton,Taj Mahal
"None",Galileo Galilei,Boomerang
"None",Leonardo DiCaprio,Petra
"None",Meryl Streep,Mount Everest
"None",Bruce Lee,Stonehenge
"None",Pelé,Mona Lisa
"None",Coco Chanel,Uluru
"None",Andy Warhol,Sombrero
"None",Alfred Hitchcock,Galapagos Islands
"None",Amelia Earhart,Haggis
"None",Ernest Hemingway,Bonsai
"None",Virginia Woolf,Ayers Rock
